date;exits;year;month;day;weekday;in_sample;exits_yesterday;exits_last_week;daily_roll;daily_ewma_fast;daily_ewma_slow;weekday_roll;weekday_ewma_fast;weekday_ewma_slow
2010-06-06;4324.0;2010;6;6;6;True;6689.0;6326.0;11210.75;7086.932526356936;10156.171824452176;5295.5;6232.318181818183;5639.0
2010-06-07;16847.0;2010;6;7;0;True;4324.0;6105.0;10024.35;4455.568215540807;7239.996917630543;11030.0;6552.727272727274;9388.333333333334
2010-06-08;16188.0;2010;6;8;1;True;16847.0;13286.0;10174.65;16256.931819787658;12043.571755550469;14924.5;13434.954545454546;14378.333333333334
2010-06-09;16894.0;2010;6;9;2;True;16188.0;14244.0;11099.5;16191.282467608937;14115.801687634947;15355.5;14345.045454545454;14985.0
2010-06-10;17900.0;2010;6;10;3;True;16894.0;11783.0;12156.3;16860.53726036233;15504.90614283044;13985.5;11983.227272727274;13251.333333333334
2010-06-11;17512.0;2010;6;11;4;True;17900.0;15203.0;13335.8;17850.501774302968;16702.455355559072;15273.5;15209.40909090909;15250.0
2010-06-12;15752.5;2010;6;12;5;True;17512.0;6689.0;13758.4;17528.119132109663;17107.228063800874;6814.25;6700.386363636363;6772.5
2010-06-13;14043.0;2010;6;13;6;True;15752.5;4324.0;13909.25;15837.053292005223;16429.863708907942;4971.666666666667;4414.676025917926;4887.571428571428
2010-06-14;33780.0;2010;6;14;0;True;14043.0;16847.0;14135.25;14128.431109143106;15236.431569917577;12969.0;16357.855291576674;13650.42857142857
2010-06-15;43605.0;2010;6;15;1;True;33780.0;16188.0;15992.95;32844.21100519729;24508.21689024173;15345.666666666666;16057.18574514039;15412.42857142857
2010-06-16;35898.0;2010;6;16;2;True;43605.0;16894.0;19684.55;43092.58147643797;34056.609014249385;15868.333333333334;16772.88336933045;16075.857142857143
2010-06-17;36459.0;2010;6;17;3;True;35898.0;17900.0;22841.95;36240.599117925616;34977.304534563555;15290.333333333334;17618.85745140389;15907.714285714286
2010-06-18;36271.0;2010;6;18;4;True;36459.0;17512.0;24803.15;36448.599957996455;35718.15227832127;16019.666666666666;17402.589632829375;16542.571428571428
2010-06-19;12718.5;2010;6;19;5;True;36271.0;15752.5;26811.45;36279.45714085697;35994.576141220154;9793.666666666666;15322.37796976242;11903.92857142857
2010-06-20;8048.0;2010;6;20;6;True;12718.5;14043.0;26393.9;13840.450340040808;24356.538027255006;7239.5;13584.55553270259;9770.466666666667
2010-06-21;20997.0;2010;6;21;0;True;8048.0;33780.0;25408.7;8323.830968573373;16202.268998438993;18171.75;32950.45937885643;24386.2
2010-06-22;21324.0;2010;6;22;1;True;20997.0;43605.0;25757.2;20393.515760408256;18599.634501452216;22410.5;42293.334224598926;30448.466666666667
2010-06-23;21957.0;2010;6;23;2;True;21324.0;35898.0;26314.35;21279.691226686107;19961.817251360426;20875.75;34987.373817359105;26647.666666666668
2010-06-24;21557.0;2010;6;24;3;True;21957.0;36459.0;27105.75;21924.747201270766;20959.40862591248;20582.5;35561.942616207314;26868.4
2010-06-25;20890.0;2010;6;25;4;True;21557.0;36271.0;25883.45;21574.511771489084;21258.204312991027;21082.5;35372.59666803783;27064.4
2010-06-26;14589.0;2010;6;26;5;True;20890.0;12718.5;23611.95;20922.59579864234;21074.102156484798;10524.875;12842.481437679966;12338.366666666667
2010-06-27;10123.0;2010;6;27;6;True;14589.0;8048.0;21481.05;14890.59979993535;17831.551078148026;8185.25;8311.64421047477;8881.451612903225
2010-06-28;32409.0;2010;6;28;0;True;10123.0;20997.0;18847.45;10350.028561901683;13977.275539017926;19432.25;21566.209563918612;22636.935483870966
2010-06-29;33589.0;2010;6;29;1;True;32409.0;21324.0;18461.25;31358.572788661982;23193.137769576017;23600.75;22322.53483509219;25739.064516129034
2010-06-30;33869.0;2010;6;30;2;True;33589.0;21957.0;20548.3;33482.789180412474;28391.06888480692;22248.25;22577.49095271908;24226.677419354837
2010-07-01;33412.0;2010;7;1;3;True;33869.0;21557.0;23130.4;33850.60900859107;31130.034442408443;21924.75;22223.89876349747;24127.032258064515
2010-07-02;31621.0;2010;7;2;4;True;33412.0;20890.0;24371.9;33432.88614326624;32271.01722120526;22469.0;21579.644083151736;23877.612903225807
2010-07-03;11358.0;2010;7;3;5;True;31621.0;14589.0;25401.6;31707.280292536485;31946.00861060248;12437.25;14505.832856688132;13499.983870967742
2010-07-04;9663.0;2010;7;4;6;True;11358.0;10123.0;24341.7;12327.013347263644;21652.0043052989;9134.5;10036.744982517572;9512.079365079366
2010-07-05;10073.0;2010;7;5;0;True;9663.0;32409.0;23152.3;9789.857778441126;15657.502152648769;26008.25;31892.676766303524;27600.52380952381
2010-07-06;27712.0;2010;7;6;1;True;10073.0;33589.0;22070.6;10059.517037068625;12865.251076324224;28676.5;33052.5017839212;29726.333333333332
2010-07-07;26930.0;2010;7;7;2;True;27712.0;33869.0;23382.9;26871.405573193744;20288.625538162323;27154.5;33331.30921837201;29124.365079365078
2010-07-08;29440.0;2010;7;8;3;True;26930.0;33412.0;25063.6;26927.209789199704;23609.312769081207;27332.0;32879.233398689365;28843.20634920635
2010-07-09;29759.0;2010;7;9;4;True;29440.0;31621.0;24766.7;29320.343323295223;26524.656384540627;26573.5;31142.84030593899;27810.761904761905
2010-07-10;3379.5;2010;7;10;5;True;29759.0;11358.0;24383.7;29738.111586823583;28141.828192270317;13604.5;11507.896767744654;12411.992063492064
2010-07-11;2092.0;2010;7;11;6;True;3379.5;9663.0;21334.75;4634.671980324934;15760.664096135137;10469.25;9680.797379922256;9588.133858267716
