time;entries;exits;station
2010-06-10 08:00:00;1572.0;6491.0;FULTON ST
2010-06-10 12:00:00;2879.0;4704.0;FULTON ST
2010-06-10 16:00:00;6545.0;3481.0;FULTON ST
2010-06-10 20:00:00;8551.0;2716.0;FULTON ST
2010-06-11 00:00:00;1265.0;473.0;FULTON ST
2010-06-11 04:00:00;85.0;180.0;FULTON ST
2010-06-11 08:00:00;2048.0;6400.0;FULTON ST
2010-06-11 12:00:00;3333.0;4974.0;FULTON ST
2010-06-11 16:00:00;7325.0;3393.0;FULTON ST
2010-06-11 20:00:00;7296.0;2092.0;FULTON ST
2010-06-12 04:00:00;255.0;331.0;FULTON ST
2010-06-12 08:00:00;1174.0;2176.0;FULTON ST
2010-06-12 12:00:00;3604.0;4386.0;FULTON ST
2010-06-12 16:00:00;6166.0;4361.0;FULTON ST
2010-06-12 20:00:00;5415.0;3287.0;FULTON ST
2010-06-13 00:00:00;2174.0;1278.0;FULTON ST
2010-06-13 04:00:00;300.0;290.0;FULTON ST
2010-06-13 08:00:00;897.0;2455.0;FULTON ST
2010-06-13 12:00:00;4114.0;3898.0;FULTON ST
2010-06-13 16:00:00;5445.0;3929.0;FULTON ST
2010-06-13 20:00:00;3144.0;2193.0;FULTON ST
2010-06-14 00:00:00;782.0;667.0;FULTON ST
2010-06-14 04:00:00;247.0;962.0;FULTON ST
2010-06-14 08:00:00;5153.0;15816.0;FULTON ST
2010-06-14 12:00:00;7239.0;7496.0;FULTON ST
2010-06-14 16:00:00;17365.0;5167.0;FULTON ST
2010-06-14 20:00:00;14397.0;3672.0;FULTON ST
2010-06-15 00:00:00;1653.0;858.0;FULTON ST
2010-06-15 04:00:00;264.0;1055.0;FULTON ST
2010-06-15 08:00:00;5463.0;16425.0;FULTON ST
2010-06-15 12:00:00;7408.0;8443.0;FULTON ST
2010-06-15 16:00:00;18807.0;10299.0;FULTON ST
2010-06-15 20:00:00;18439.0;6525.0;FULTON ST
2010-06-16 00:00:00;2688.0;1236.0;FULTON ST
2010-06-16 04:00:00;273.0;1022.0;FULTON ST
2010-06-16 08:00:00;5313.0;16303.0;FULTON ST
2010-06-16 12:00:00;7325.0;7970.0;FULTON ST
2010-06-16 16:00:00;16924.0;5587.0;FULTON ST
2010-06-16 20:00:00;13246.0;3780.0;FULTON ST
2010-06-17 00:00:00;1655.0;1187.0;FULTON ST
2010-06-17 04:00:00;311.0;1005.0;FULTON ST
2010-06-17 08:00:00;5329.0;16540.0;FULTON ST
2010-06-17 12:00:00;7659.0;7993.0;FULTON ST
2010-06-17 16:00:00;18288.0;5755.0;FULTON ST
2010-06-17 20:00:00;15195.0;3979.0;FULTON ST
2010-06-18 00:00:00;1851.0;1396.0;FULTON ST
2010-06-18 04:00:00;315.0;991.0;FULTON ST
2010-06-18 08:00:00;4844.0;15578.0;FULTON ST
2010-06-18 12:00:00;9856.0;9806.0;FULTON ST
2010-06-18 16:00:00;16297.0;4585.0;FULTON ST
2010-06-18 20:00:00;13441.0;3915.0;FULTON ST
2010-06-19 04:00:00;156.0;434.0;FULTON ST
2010-06-19 08:00:00;407.0;1131.0;FULTON ST
2010-06-19 12:00:00;1166.0;2675.0;FULTON ST
2010-06-19 16:00:00;1675.0;3606.0;FULTON ST
2010-06-19 20:00:00;1678.0;2698.0;FULTON ST
2010-06-20 00:00:00;800.0;1293.0;FULTON ST
2010-06-20 04:00:00;115.0;297.0;FULTON ST
2010-06-20 08:00:00;167.0;559.0;FULTON ST
2010-06-20 12:00:00;764.0;1780.0;FULTON ST
2010-06-20 16:00:00;1210.0;2654.0;FULTON ST
2010-06-20 20:00:00;1257.0;1465.0;FULTON ST
2010-06-21 00:00:00;472.0;498.0;FULTON ST
2010-06-21 04:00:00;96.0;186.0;FULTON ST
2010-06-21 08:00:00;2310.0;8226.0;FULTON ST
2010-06-21 12:00:00;2533.0;5553.0;FULTON ST
2010-06-21 16:00:00;6059.0;3575.0;FULTON ST
2010-06-21 20:00:00;7448.0;2959.0;FULTON ST
2010-06-22 00:00:00;974.0;841.0;FULTON ST
2010-06-22 04:00:00;120.0;197.0;FULTON ST
2010-06-22 08:00:00;2358.0;8336.0;FULTON ST
2010-06-22 12:00:00;2741.0;5800.0;FULTON ST
2010-06-22 16:00:00;5264.0;3282.0;FULTON ST
2010-06-22 20:00:00;5639.0;2868.0;FULTON ST
2010-06-23 00:00:00;1011.0;806.0;FULTON ST
2010-06-23 04:00:00;91.0;252.0;FULTON ST
2010-06-23 08:00:00;2329.0;8395.0;FULTON ST
2010-06-23 12:00:00;2796.0;5641.0;FULTON ST
2010-06-23 16:00:00;5969.0;3692.0;FULTON ST
2010-06-23 20:00:00;7458.0;3171.0;FULTON ST
2010-06-24 00:00:00;1048.0;864.0;FULTON ST
2010-06-24 04:00:00;237.0;335.0;FULTON ST
2010-06-24 08:00:00;2174.0;8007.0;FULTON ST
2010-06-24 12:00:00;2841.0;5847.0;FULTON ST
2010-06-24 16:00:00;5246.0;3158.0;FULTON ST
2010-06-24 20:00:00;6513.0;3346.0;FULTON ST
2010-06-25 00:00:00;1043.0;1041.0;FULTON ST
2010-06-25 04:00:00;116.0;343.0;FULTON ST
2010-06-25 08:00:00;1702.0;7251.0;FULTON ST
2010-06-25 12:00:00;2321.0;5369.0;FULTON ST
2010-06-25 16:00:00;6582.0;3814.0;FULTON ST
2010-06-25 20:00:00;6646.0;3072.0;FULTON ST
2010-06-26 04:00:00;426.0;394.0;FULTON ST
2010-06-26 08:00:00;1038.0;1771.0;FULTON ST
2010-06-26 12:00:00;3359.0;3396.0;FULTON ST
2010-06-26 16:00:00;5758.0;4032.0;FULTON ST
2010-06-26 20:00:00;5327.0;3263.0;FULTON ST
2010-06-27 00:00:00;2011.0;1190.0;FULTON ST
2010-06-27 04:00:00;223.0;296.0;FULTON ST
2010-06-27 08:00:00;591.0;1253.0;FULTON ST
2010-06-27 12:00:00;2525.0;2776.0;FULTON ST
2010-06-27 16:00:00;4434.0;2932.0;FULTON ST
2010-06-27 20:00:00;3898.0;1676.0;FULTON ST
2010-06-28 00:00:00;1033.0;557.0;FULTON ST
2010-06-28 04:00:00;244.0;828.0;FULTON ST
2010-06-28 08:00:00;4636.0;14587.0;FULTON ST
2010-06-28 12:00:00;6689.0;8042.0;FULTON ST
2010-06-28 16:00:00;14912.0;5045.0;FULTON ST
2010-06-28 20:00:00;14598.0;3350.0;FULTON ST
2010-06-29 00:00:00;1815.0;725.0;FULTON ST
2010-06-29 04:00:00;255.0;863.0;FULTON ST
2010-06-29 08:00:00;4559.0;13557.0;FULTON ST
2010-06-29 12:00:00;6459.0;9343.0;FULTON ST
2010-06-29 16:00:00;15080.0;5461.0;FULTON ST
2010-06-29 20:00:00;16134.0;3640.0;FULTON ST
2010-06-30 00:00:00;1874.0;839.0;FULTON ST
2010-06-30 04:00:00;269.0;920.0;FULTON ST
2010-06-30 08:00:00;4473.0;14287.0;FULTON ST
2010-06-30 12:00:00;6698.0;8052.0;FULTON ST
2010-06-30 16:00:00;15301.0;5664.0;FULTON ST
2010-06-30 20:00:00;16263.0;4107.0;FULTON ST
2010-07-01 00:00:00;2315.0;910.0;FULTON ST
2010-07-01 04:00:00;324.0;823.0;FULTON ST
2010-07-01 08:00:00;4243.0;13876.0;FULTON ST
2010-07-01 12:00:00;6793.0;8491.0;FULTON ST
2010-07-01 16:00:00;15496.0;5543.0;FULTON ST
2010-07-01 20:00:00;15790.0;3769.0;FULTON ST
2010-07-02 00:00:00;2403.0;847.0;FULTON ST
2010-07-02 04:00:00;254.0;773.0;FULTON ST
2010-07-02 08:00:00;3803.0;12135.0;FULTON ST
2010-07-02 12:00:00;7837.0;7674.0;FULTON ST
2010-07-02 16:00:00;16887.0;6369.0;FULTON ST
2010-07-02 20:00:00;10874.0;3823.0;FULTON ST
2010-07-03 04:00:00;258.0;263.0;FULTON ST
2010-07-03 08:00:00;764.0;1350.0;FULTON ST
2010-07-03 12:00:00;2630.0;2639.0;FULTON ST
2010-07-03 16:00:00;4361.0;2864.0;FULTON ST
2010-07-03 20:00:00;4062.0;2199.0;FULTON ST
2010-07-04 00:00:00;1671.0;762.0;FULTON ST
2010-07-04 04:00:00;229.0;195.0;FULTON ST
2010-07-04 08:00:00;481.0;868.0;FULTON ST
2010-07-04 12:00:00;2208.0;2288.0;FULTON ST
2010-07-04 16:00:00;4038.0;3136.0;FULTON ST
2010-07-04 20:00:00;3485.0;2414.0;FULTON ST
2010-07-05 00:00:00;2307.0;1142.0;FULTON ST
2010-07-05 04:00:00;243.0;260.0;FULTON ST
2010-07-05 08:00:00;697.0;1479.0;FULTON ST
2010-07-05 12:00:00;2281.0;2483.0;FULTON ST
2010-07-05 16:00:00;4467.0;2852.0;FULTON ST
2010-07-05 20:00:00;3213.0;1857.0;FULTON ST
2010-07-06 00:00:00;987.0;514.0;FULTON ST
2010-07-06 04:00:00;150.0;737.0;FULTON ST
2010-07-06 08:00:00;3418.0;12322.0;FULTON ST
2010-07-06 12:00:00;5266.0;6696.0;FULTON ST
2010-07-06 16:00:00;12438.0;4359.0;FULTON ST
2010-07-06 20:00:00;12739.0;3084.0;FULTON ST
2010-07-07 00:00:00;1673.0;563.0;FULTON ST
2010-07-07 04:00:00;201.0;739.0;FULTON ST
2010-07-07 08:00:00;3416.0;11631.0;FULTON ST
2010-07-07 12:00:00;5261.0;6469.0;FULTON ST
2010-07-07 16:00:00;12571.0;4518.0;FULTON ST
2010-07-07 20:00:00;13469.0;3010.0;FULTON ST
2010-07-08 00:00:00;1800.0;636.0;FULTON ST
2010-07-08 04:00:00;186.0;704.0;FULTON ST
2010-07-08 08:00:00;3370.0;12435.0;FULTON ST
2010-07-08 12:00:00;5457.0;7182.0;FULTON ST
2010-07-08 16:00:00;13051.0;5165.0;FULTON ST
2010-07-08 20:00:00;14266.0;3318.0;FULTON ST
2010-07-09 00:00:00;2126.0;681.0;FULTON ST
2010-07-09 04:00:00;248.0;773.0;FULTON ST
2010-07-09 08:00:00;3237.0;12099.0;FULTON ST
2010-07-09 12:00:00;5840.0;7238.0;FULTON ST
2010-07-09 16:00:00;14786.0;5444.0;FULTON ST
2010-07-09 20:00:00;13626.0;3524.0;FULTON ST
2010-07-10 04:00:00;80.0;41.0;FULTON ST
2010-07-10 08:00:00;318.0;210.0;FULTON ST
2010-07-10 12:00:00;708.0;399.0;FULTON ST
2010-07-10 16:00:00;1139.0;443.0;FULTON ST
2010-07-10 20:00:00;938.0;504.0;FULTON ST
2010-07-11 00:00:00;388.0;207.0;FULTON ST
2010-07-11 04:00:00;58.0;29.0;FULTON ST
2010-07-11 08:00:00;260.0;169.0;FULTON ST
2010-07-11 12:00:00;812.0;545.0;FULTON ST
2010-07-11 16:00:00;1388.0;701.0;FULTON ST
2010-07-11 20:00:00;992.0;441.0;FULTON ST
2010-07-12 00:00:00;205.0;120.0;FULTON ST
2010-07-12 04:00:00;107.0;396.0;FULTON ST
2010-07-12 08:00:00;1423.0;5274.0;FULTON ST
2010-07-12 12:00:00;1829.0;1278.0;FULTON ST
2010-07-12 16:00:00;6092.0;825.0;FULTON ST
2010-07-12 20:00:00;1791.0;518.0;FULTON ST
2010-07-13 00:00:00;269.0;86.0;FULTON ST
2010-07-13 04:00:00;134.0;426.0;FULTON ST
2010-07-13 08:00:00;1319.0;5220.0;FULTON ST
2010-07-13 12:00:00;1278.0;1233.0;FULTON ST
2010-07-13 16:00:00;4676.0;582.0;FULTON ST
2010-07-13 20:00:00;1693.0;461.0;FULTON ST
2010-07-14 00:00:00;256.0;107.0;FULTON ST
2010-07-14 04:00:00;115.0;408.0;FULTON ST
2010-07-14 08:00:00;1180.0;1519.0;FULTON ST
2010-07-14 12:00:00;1282.0;439.0;FULTON ST
2010-07-14 16:00:00;4955.0;928.0;FULTON ST
2010-07-14 20:00:00;1809.0;462.0;FULTON ST
2010-07-15 00:00:00;313.0;147.0;FULTON ST
2010-07-15 04:00:00;125.0;375.0;FULTON ST
2010-07-15 08:00:00;1410.0;5507.0;FULTON ST
2010-07-15 12:00:00;1951.0;1429.0;FULTON ST
2010-07-15 16:00:00;5726.0;983.0;FULTON ST
2010-07-15 20:00:00;2302.0;579.0;FULTON ST
2010-07-16 00:00:00;445.0;152.0;FULTON ST
2010-07-16 04:00:00;174.0;968.0;FULTON ST
2010-07-16 08:00:00;1338.0;4291.0;FULTON ST
2010-07-16 12:00:00;1970.0;1388.0;FULTON ST
2010-07-16 16:00:00;5374.0;1037.0;FULTON ST
2010-07-16 20:00:00;2206.0;588.0;FULTON ST
2010-07-17 04:00:00;393.0;286.0;FULTON ST
2010-07-17 08:00:00;978.0;1742.0;FULTON ST
2010-07-17 12:00:00;2716.0;2488.0;FULTON ST
2010-07-17 16:00:00;4521.0;2739.0;FULTON ST
2010-07-17 20:00:00;3635.0;2141.0;FULTON ST
2010-07-18 00:00:00;1438.0;811.0;FULTON ST
2010-07-18 04:00:00;283.0;189.0;FULTON ST
2010-07-18 08:00:00;743.0;1091.0;FULTON ST
2010-07-18 12:00:00;2159.0;2202.0;FULTON ST
2010-07-18 16:00:00;3509.0;2640.0;FULTON ST
2010-07-18 20:00:00;2956.0;1656.0;FULTON ST
2010-07-19 00:00:00;649.0;470.0;FULTON ST
2010-07-19 04:00:00;315.0;1408.0;FULTON ST
