index;year;month;day;weekday;exits;in_sample;Date;exits_yesterday;exits_last_week;target_daily_roll;target_daily_emov_fast;target_daily_emov_slow;target_daily_weekday_roll;target_daily_weekday_emov_fast;target_daily_weekday_emov_slow
25;2010;6;17;3;36459.0;True;2010-06-17 00:00:00;35898.0;17900.0;22841.95;36240.599117925616;34977.304534563555;15290.333333333334;17618.85745140389;15907.714285714286
26;2010;6;18;4;36271.0;True;2010-06-18 00:00:00;36459.0;17512.0;24803.15;36448.599957996455;35718.15227832127;16019.666666666666;17402.589632829375;16542.571428571428
27;2010;6;19;5;12718.5;True;2010-06-19 00:00:00;36271.0;15752.5;26811.45;36279.45714085697;35994.576141220154;9793.666666666666;15322.37796976242;11903.92857142857
28;2010;6;20;6;8048.0;True;2010-06-20 00:00:00;12718.5;14043.0;26393.9;13840.450340040808;24356.538027255006;8231.0;13585.514038876889;10163.714285714286
29;2010;6;21;0;20997.0;True;2010-06-21 00:00:00;8048.0;33780.0;25408.7;8323.830968573373;16202.268998438993;18171.75;32950.45937885643;24386.2
30;2010;6;22;1;21324.0;True;2010-06-22 00:00:00;20997.0;43605.0;25757.2;20393.515760408256;18599.634501452216;22410.5;42293.334224598926;30448.466666666667
31;2010;6;23;2;21957.0;True;2010-06-23 00:00:00;21324.0;35898.0;26314.35;21279.691226686107;19961.817251360426;20875.75;34987.373817359105;26647.666666666668
32;2010;6;24;3;21557.0;True;2010-06-24 00:00:00;21957.0;36459.0;27105.75;21924.747201270766;20959.40862591248;20582.5;35561.942616207314;26868.4
33;2010;6;25;4;20890.0;True;2010-06-25 00:00:00;21557.0;36271.0;25883.45;21574.511771489084;21258.204312991027;21082.5;35372.59666803783;27064.4
34;2010;6;26;5;14589.0;True;2010-06-26 00:00:00;20890.0;12718.5;23611.95;20922.59579864234;21074.102156484798;10524.875;12842.481437679966;12338.366666666667
35;2010;6;27;6;10123.0;True;2010-06-27 00:00:00;14589.0;8048.0;21481.05;14890.59979993535;17831.551078148026;8185.25;8311.664027149322;9035.333333333334
36;2010;6;28;0;32409.0;True;2010-06-28 00:00:00;10123.0;20997.0;18847.45;10350.028561901683;13977.275539017926;19432.25;21566.209563918612;22636.935483870966
37;2010;6;29;1;33589.0;True;2010-06-29 00:00:00;32409.0;21324.0;18461.25;31358.572788661982;23193.137769576017;23600.75;22322.53483509219;25739.064516129034
38;2010;6;30;2;33869.0;True;2010-06-30 00:00:00;33589.0;21957.0;20548.3;33482.789180412474;28391.06888480692;22248.25;22577.49095271908;24226.677419354837
39;2010;7;1;3;33412.0;True;2010-07-01 00:00:00;33869.0;21557.0;23130.4;33850.60900859107;31130.034442408443;21924.75;22223.89876349747;24127.032258064515
40;2010;7;2;4;31621.0;True;2010-07-02 00:00:00;33412.0;20890.0;24371.9;33432.88614326624;32271.01722120526;22469.0;21579.644083151736;23877.612903225807
41;2010;7;3;5;11358.0;True;2010-07-03 00:00:00;31621.0;14589.0;25401.6;31707.280292536485;31946.00861060248;12437.25;14505.832856688132;13499.983870967742
42;2010;7;4;6;9663.0;True;2010-07-04 00:00:00;11358.0;10123.0;24341.7;12327.013347263644;21652.0043052989;9134.5;10036.746328444457;9596.709677419354
43;2010;7;5;0;10073.0;True;2010-07-05 00:00:00;9663.0;32409.0;23152.3;9789.857778441126;15657.502152648769;26008.25;31892.676766303524;27600.52380952381
44;2010;7;6;1;27712.0;True;2010-07-06 00:00:00;10073.0;33589.0;22070.6;10059.517037068625;12865.251076324224;28676.5;33052.5017839212;29726.333333333332
45;2010;7;7;2;26930.0;True;2010-07-07 00:00:00;27712.0;33869.0;23382.9;26871.405573193744;20288.625538162323;27154.5;33331.30921837201;29124.365079365078
46;2010;7;8;3;29440.0;True;2010-07-08 00:00:00;26930.0;33412.0;25063.6;26927.209789199704;23609.312769081207;27332.0;32879.233398689365;28843.20634920635
47;2010;7;9;4;29759.0;True;2010-07-09 00:00:00;29440.0;31621.0;24766.7;29320.343323295223;26524.656384540627;26573.5;31142.84030593899;27810.761904761905
48;2010;7;10;5;3379.5;True;2010-07-10 00:00:00;29759.0;11358.0;24383.7;29738.111586823583;28141.828192270317;13604.5;11507.896767744654;12411.992063492064
49;2010;7;11;6;2092.0;True;2010-07-11 00:00:00;3379.5;9663.0;21334.75;4634.671980324934;15760.664096135137;10469.25;9680.797440061415;9630.380952380952
50;2010;7;12;0;8411.0;True;2010-07-12 00:00:00;2092.0;10073.0;18202.75;2213.079618110711;8926.332048067561;24314.75;11112.032215429008;18767.75590551181
51;2010;7;13;1;8008.0;True;2010-07-13 00:00:00;8411.0;27712.0;15881.75;8115.860934195748;8668.66602403378;31557.5;27966.309605934195;28711.23622047244
52;2010;7;14;2;3863.0;True;2010-07-14 00:00:00;8008.0;26930.0;15546.75;8013.136234961702;8338.33301201689;29663.5;27234.824245109015;28018.543307086613
53;2010;7;15;3;9020.0;True;2010-07-15 00:00:00;3863.0;29440.0;14966.75;4060.6255349981766;6100.666506008445;30217.0;29603.773017166608;29143.952755905513
54;2010;7;16;4;8424.0;True;2010-07-16 00:00:00;9020.0;29759.0;14861.45;8783.83931119039;7560.333253004223;29635.25;29824.897156693918;28792.55118110236
55;2010;7;17;5;9833.0;True;2010-07-17 00:00:00;8424.0;3379.5;12932.65;8441.13520529478;7992.166626502111;10511.25;3766.566508451606;7860.185039370079
