time;in_sample;exits;annotation
2010-06-09 08:00:00;True;6665.0;FULTON ST
2010-06-09 12:00:00;True;4662.0;FULTON ST
2010-06-09 16:00:00;True;2861.0;FULTON ST
2010-06-09 20:00:00;True;2139.0;FULTON ST
2010-06-10 00:00:00;True;387.0;FULTON ST
2010-06-10 04:00:00;True;121.0;FULTON ST
2010-06-10 08:00:00;True;6491.0;FULTON ST
2010-06-10 12:00:00;True;4704.0;FULTON ST
2010-06-10 16:00:00;True;3481.0;FULTON ST
2010-06-10 20:00:00;True;2716.0;FULTON ST
2010-06-11 00:00:00;True;473.0;FULTON ST
2010-06-11 04:00:00;True;180.0;FULTON ST
2010-06-11 08:00:00;True;6400.0;FULTON ST
2010-06-11 12:00:00;True;4974.0;FULTON ST
2010-06-11 16:00:00;True;3393.0;FULTON ST
2010-06-11 20:00:00;True;2092.0;FULTON ST
2010-06-12 00:00:00;True;1211.5;FULTON ST interpolated
2010-06-12 04:00:00;True;331.0;FULTON ST
2010-06-12 08:00:00;True;2176.0;FULTON ST
2010-06-12 12:00:00;True;4386.0;FULTON ST
2010-06-12 16:00:00;True;4361.0;FULTON ST
2010-06-12 20:00:00;True;3287.0;FULTON ST
2010-06-13 00:00:00;True;1278.0;FULTON ST
2010-06-13 04:00:00;True;290.0;FULTON ST
2010-06-13 08:00:00;True;2455.0;FULTON ST
2010-06-13 12:00:00;True;3898.0;FULTON ST
2010-06-13 16:00:00;True;3929.0;FULTON ST
2010-06-13 20:00:00;True;2193.0;FULTON ST
2010-06-14 00:00:00;True;667.0;FULTON ST
2010-06-14 04:00:00;True;962.0;FULTON ST
2010-06-14 08:00:00;True;15816.0;FULTON ST
2010-06-14 12:00:00;True;7496.0;FULTON ST
2010-06-14 16:00:00;True;5167.0;FULTON ST
2010-06-14 20:00:00;True;3672.0;FULTON ST
2010-06-15 00:00:00;True;858.0;FULTON ST
2010-06-15 04:00:00;True;1055.0;FULTON ST
2010-06-15 08:00:00;True;16425.0;FULTON ST
